iter	Logloss
0	0.5818388048
1	0.5426130767
2	0.5086643154
3	0.4804495361
4	0.4610972107
5	0.4345805168
6	0.419494936
7	0.409421819
8	0.3925796265
9	0.3871487144
10	0.3730875766
11	0.3592207739
12	0.3552839809
13	0.3489871368
14	0.3461426149
15	0.3441327692
16	0.3420389005
17	0.3401472537
18	0.3356652487
19	0.3333047453
20	0.3317074486
21	0.3137653412
22	0.3125954202
23	0.3110291694
24	0.3096559128
25	0.3069581895
26	0.3024891024
27	0.3015715132
28	0.2938366169
29	0.2924793554
30	0.2895216161
31	0.288751642
32	0.2881933456
33	0.2874529596
34	0.2858100296
35	0.284986509
36	0.2797788691
37	0.2748935648
38	0.2738428658
39	0.2731589828
40	0.2724008841
41	0.267860864
42	0.262549505
43	0.2596700797
44	0.2585503123
45	0.2577959207
46	0.2568708619
47	0.2557907555
48	0.2526390176
49	0.251847491
50	0.2514633917
51	0.2510413309
52	0.2504586814
53	0.2501142707
54	0.2474654828
55	0.2467290517
56	0.2463283241
57	0.2458731529
58	0.2437580441
59	0.2429498193
60	0.2415515742
61	0.2389936347
62	0.2383445874
63	0.2375189553
64	0.2355211681
65	0.2344507419
66	0.2334251798
67	0.2323416446
68	0.2316736733
69	0.2302247496
70	0.229593459
71	0.2289415727
72	0.2278224576
73	0.2269593323
74	0.2240685256
75	0.2232136564
76	0.2201936464
77	0.2198003951
78	0.2194523093
79	0.2180886647
80	0.216025024
81	0.2127771078
82	0.2122359282
83	0.2116404273
84	0.2111732552
85	0.2108447957
86	0.2103352616
87	0.2100462317
88	0.2096474516
89	0.2082069021
90	0.2075398258
91	0.2070923941
92	0.2067888046
93	0.2062857928
94	0.205733169
95	0.2052961722
96	0.2043382675
97	0.2021879245
98	0.1998862043
99	0.1977587337
100	0.1972599641
101	0.1968611289
102	0.1962426457
103	0.1957421593
104	0.1951171002
105	0.1946699977
106	0.1934015654
107	0.192576474
108	0.1923381799
109	0.1917960902
110	0.1912537197
111	0.190907117
112	0.1901476699
113	0.1896205711
114	0.1885540134
115	0.1870152297
116	0.1853401482
117	0.1850108089
118	0.1844506788
119	0.1842137766
120	0.1839348714
121	0.1831698103
122	0.1828889399
123	0.1825903238
124	0.182380909
125	0.1816373012
126	0.1812813995
127	0.1807222664
128	0.179613971
129	0.1782669309
130	0.1779176161
131	0.1777450847
132	0.1774608456
133	0.1762949701
134	0.1760378629
135	0.1754707454
136	0.1752026592
137	0.1741363556
138	0.1738961106
139	0.1735876338
140	0.1733505065
141	0.1729717666
142	0.1727046074
143	0.1725429817
144	0.1719862555
145	0.1709969945
146	0.1704398351
147	0.1701887321
148	0.1688303697
149	0.1684099822
150	0.1680975646
151	0.1678014688
152	0.1674681075
153	0.1671052919
154	0.1668862596
155	0.1665693383
156	0.1663303025
157	0.1655796453
158	0.1653748165
159	0.1641679937
160	0.1640027477
161	0.1638105786
162	0.163531239
163	0.1629806681
164	0.1626632061
165	0.1623162844
166	0.1620876007
167	0.1619604163
168	0.1617754013
169	0.1615324634
170	0.1613356827
171	0.1601313513
172	0.1598847322
173	0.1593132227
174	0.1587480592
175	0.1584358763
176	0.1581664959
177	0.157978708
178	0.157800322
179	0.1575875752
180	0.1573632297
181	0.1570302195
182	0.1568921422
183	0.1566506562
184	0.1565265688
185	0.1560794943
186	0.1558970064
187	0.1551826198
188	0.1540609794
189	0.1538528557
190	0.1536611429
191	0.1532449476
192	0.1526873996
193	0.1525164619
194	0.1522920647
195	0.1520397652
196	0.1516743882
197	0.1514456161
198	0.1513342803
199	0.1510152966
200	0.1508839949
201	0.1506637399
202	0.1504761103
203	0.1503320261
204	0.1500382874
205	0.1498031784
206	0.1489458622
207	0.1480847057
208	0.1479380202
209	0.1477395392
210	0.1471413172
211	0.1468435989
212	0.1458752597
213	0.1455173758
214	0.1452729885
215	0.1450510961
216	0.144809945
217	0.1437626548
218	0.1435894823
219	0.143455513
220	0.1433192067
221	0.1432432517
222	0.1430081288
223	0.1425187453
224	0.1422807417
225	0.1419968273
226	0.1410723744
227	0.140926465
228	0.1404577027
229	0.1403133027
230	0.1402134435
231	0.139972235
232	0.1398376198
233	0.1396173493
234	0.1393190559
235	0.1388728122
236	0.138620197
237	0.1384846472
238	0.137197557
239	0.1370931876
240	0.1362303122
241	0.1355329687
242	0.1354253392
243	0.1348009269
244	0.1345946635
245	0.1340473759
246	0.1336664134
247	0.1334750879
248	0.1330540475
249	0.1327464643
250	0.1325840504
251	0.1315836851
252	0.1314133254
253	0.1307878332
254	0.130507232
255	0.1302953235
256	0.1294894461
257	0.129271307
258	0.1291694329
259	0.1290646405
260	0.1288054627
261	0.1286709013
262	0.1285690399
263	0.1277655192
264	0.1275331154
265	0.1271405835
266	0.126125619
267	0.1255295866
268	0.1246829654
269	0.124483237
270	0.1240852467
271	0.1233216221
272	0.1229733306
273	0.1227937858
274	0.12255322
275	0.1222914018
276	0.1213861562
277	0.1211348101
278	0.1209604786
279	0.1206109487
280	0.1202173074
281	0.1199283788
282	0.1196803909
283	0.1195077234
